coverage_id,source_page_start,source_page_end,section_number,heading,item_type,treatment,owner_key,render_location,readiness_check,status,review_note
COV-081,74,74,GCC 3,Contract Documents,heading,Locked,"Section VI GCC clause 3 full text, unmodified",complete_tender.html - Section VI - General Conditions of Contract,"present verbatim, unedited, cross-references to SCC resolve correctly",Reviewed,
COV-082,74,75,GCC 4,Fraud and Corruption,heading,Locked,"Section VI GCC clause 4 full text, unmodified",complete_tender.html - Section VI - General Conditions of Contract,"present verbatim, unedited, cross-references to SCC resolve correctly",Reviewed,
COV-083,75,75,GCC 5,Language,heading,Locked,"Section VI GCC clause 5 full text, unmodified",complete_tender.html - Section VI - General Conditions of Contract,"present verbatim, unedited, cross-references to SCC resolve correctly",Reviewed,
COV-084,75,75,GCC 6,"Joint Venture, Consortium or Association",heading,Locked,"Section VI GCC clause 6 full text, unmodified",complete_tender.html - Section VI - General Conditions of Contract,"present verbatim, unedited, cross-references to SCC resolve correctly",Reviewed,
COV-085,75,75,GCC 7,Eligibility,heading,Locked,"Section VI GCC clause 7 full text, unmodified",complete_tender.html - Section VI - General Conditions of Contract,"present verbatim, unedited, cross-references to SCC resolve correctly",Reviewed,
COV-086,75,75,GCC 8,Notices,heading,Locked,"Section VI GCC clause 8 full text, unmodified",complete_tender.html - Section VI - General Conditions of Contract,"present verbatim, unedited, cross-references to SCC resolve correctly",Reviewed,
COV-087,75,75,GCC 9,Governing Law,heading,Locked,"Section VI GCC clause 9 full text, unmodified",complete_tender.html - Section VI - General Conditions of Contract,"present verbatim, unedited, cross-references to SCC resolve correctly",Reviewed,
COV-088,75,77,GCC 10,Settlement of Disputes,heading,Locked,"Section VI GCC clause 10 full text, unmodified",complete_tender.html - Section VI - General Conditions of Contract,"present verbatim, unedited, cross-references to SCC resolve correctly",Reviewed,"Gate D remediation - review sweep: GCC 10.4 (Settlement of Disputes) dropped the sentence ""The place of arbitration shall be a location specified in the SCC; and"" ahead of the language-of-arbitration sentence. Unambiguous, low-risk, source-verbatim fix - restored directly in complete_tender.html."
COV-089,77,77,GCC 11,Inspections and Audit by the Procuring Entity,heading,Locked,"Section VI GCC clause 11 full text, unmodified",complete_tender.html - Section VI - General Conditions of Contract,"present verbatim, unedited, cross-references to SCC resolve correctly",Reviewed,
COV-090,77,77,GCC 12,Scope of Supply,heading,Locked,"Section VI GCC clause 12 full text, unmodified",complete_tender.html - Section VI - General Conditions of Contract,"present verbatim, unedited, cross-references to SCC resolve correctly",Reviewed,
COV-091,77,77,GCC 13,Delivery and Documents,heading,Locked,"Section VI GCC clause 13 full text, unmodified",complete_tender.html - Section VI - General Conditions of Contract,"present verbatim, unedited, cross-references to SCC resolve correctly",Reviewed,
COV-092,77,77,GCC 14,Supplier's Responsibilities,heading,Locked,"Section VI GCC clause 14 full text, unmodified",complete_tender.html - Section VI - General Conditions of Contract,"present verbatim, unedited, cross-references to SCC resolve correctly",Reviewed,
COV-093,77,78,GCC 15,Contract Price,heading,Locked,"Section VI GCC clause 15 full text, unmodified",complete_tender.html - Section VI - General Conditions of Contract,"present verbatim, unedited, cross-references to SCC resolve correctly",Reviewed,"Gate D remediation - review sweep: GCC 15.1 (Contract Price) replaced the source's specific ""any price adjustments authorized in the SCC"" with vague ""any price adjustment authorized under the applicable clauses of the Contract,"" obscuring where a reader must look for the authorization. Unambiguous, low-risk, source-verbatim fix - restored directly in complete_tender.html."
COV-094,78,78,GCC 16,Terms of Payment,heading,Locked,"Section VI GCC clause 16 full text, unmodified",complete_tender.html - Section VI - General Conditions of Contract,"present verbatim, unedited, cross-references to SCC resolve correctly",Reviewed,"Any general GCC advance-payment language is kept as Locked conditional text (per GCC's own structure), but the operative SCC row (COV-251) must make advance payment explicitly inapplicable for Version 1.0 - see resolution recorded there and in open_issues.md Pass 2 item 9."
COV-095,78,78,GCC 17,Taxes and Duties,heading,Locked,"Section VI GCC clause 17 full text, unmodified",complete_tender.html - Section VI - General Conditions of Contract,"present verbatim, unedited, cross-references to SCC resolve correctly",Reviewed,
COV-096,78,78,GCC 18,Performance Security,heading,Locked,"Section VI GCC clause 18 full text, unmodified",complete_tender.html - Section VI - General Conditions of Contract,"present verbatim, unedited, cross-references to SCC resolve correctly",Reviewed,
COV-097,78,79,GCC 19,Copyright,heading,Locked,"Section VI GCC clause 19 full text, unmodified",complete_tender.html - Section VI - General Conditions of Contract,"present verbatim, unedited, cross-references to SCC resolve correctly",Reviewed,
COV-098,79,79,GCC 20,Confidential Information,heading,Locked,"Section VI GCC clause 20 full text, unmodified",complete_tender.html - Section VI - General Conditions of Contract,"present verbatim, unedited, cross-references to SCC resolve correctly",Reviewed,
COV-099,79,79,GCC 21,Subcontracting,heading,Locked,"Section VI GCC clause 21 full text, unmodified",complete_tender.html - Section VI - General Conditions of Contract,"present verbatim, unedited, cross-references to SCC resolve correctly",Reviewed,
COV-100,79,79,GCC 22,Specifications and Standards,heading,Locked,"Section VI GCC clause 22 full text, unmodified",complete_tender.html - Section VI - General Conditions of Contract,"present verbatim, unedited, cross-references to SCC resolve correctly",Reviewed,
COV-101,80,80,GCC 23,Packing and Documents,heading,Locked,"Section VI GCC clause 23 full text, unmodified",complete_tender.html - Section VI - General Conditions of Contract,"present verbatim, unedited, cross-references to SCC resolve correctly",Reviewed,
COV-102,80,80,GCC 24,Insurance,heading,Locked,"Section VI GCC clause 24 full text, unmodified",complete_tender.html - Section VI - General Conditions of Contract,"present verbatim, unedited, cross-references to SCC resolve correctly",Reviewed,
COV-103,80,80,GCC 25,Transportation and Incidental Services,heading,Locked,"Section VI GCC clause 25 full text, unmodified",complete_tender.html - Section VI - General Conditions of Contract,"present verbatim, unedited, cross-references to SCC resolve correctly",Reviewed,
COV-104,80,81,GCC 26,Inspections and Tests,heading,Locked,"Section VI GCC clause 26 full text, unmodified",complete_tender.html - Section VI - General Conditions of Contract,"present verbatim, unedited, cross-references to SCC resolve correctly",Reviewed,
COV-105,81,81,GCC 27,Liquidated Damages,heading,Locked,"Section VI GCC clause 27 full text, unmodified",complete_tender.html - Section VI - General Conditions of Contract,"present verbatim, unedited, cross-references to SCC resolve correctly",Reviewed,
COV-106,81,81,GCC 28,Warranty,heading,Locked,"Section VI GCC clause 28 full text, unmodified",complete_tender.html - Section VI - General Conditions of Contract,"present verbatim, unedited, cross-references to SCC resolve correctly",Reviewed,"Gate D remediation - review sweep: GCC 28.3 Warranty replaces the source's literal default period text (twelve/eighteen months, whichever concludes earlier) with generic ""the period specified in the SCC,"" resolved via a per-item warranty table fed by item.minimum_warranty in the SCC section. Functionally coherent but conflicts with this row's ""Locked/unmodified"" treatment metadata. See open_issues.md Gate D remediation - review sweep findings, item 37. Resolved 2026-08-28 (Gate D second-round decision): Restored GCC 28.3's literal default warranty period (12/18 months) verbatim; the SCC per-item warranty table (fed by item.minimum_warranty) stands as the express SCC override contemplated by 'unless otherwise specified in the SCC' (#37). Row treatment/readiness_check corrected to reflect this is Locked verbatim text with an SCC override, not an adapted paraphrase."
COV-107,82,82,GCC 29,Patent Indemnity,heading,Locked,"Section VI GCC clause 29 full text, unmodified",complete_tender.html - Section VI - General Conditions of Contract,"present verbatim, unedited, cross-references to SCC resolve correctly",Reviewed,
COV-108,82,82,GCC 30,Limitation of Liability,heading,Locked,"Section VI GCC clause 30 full text, unmodified",complete_tender.html - Section VI - General Conditions of Contract,"present verbatim, unedited, cross-references to SCC resolve correctly",Reviewed,
COV-109,82,83,GCC 31,Change in Laws and Regulations,heading,Locked,"Section VI GCC clause 31 full text, unmodified",complete_tender.html - Section VI - General Conditions of Contract,"present verbatim, unedited, cross-references to SCC resolve correctly",Reviewed,
COV-110,83,83,GCC 32,Force Majeure,heading,Locked,"Section VI GCC clause 32 full text, unmodified",complete_tender.html - Section VI - General Conditions of Contract,"present verbatim, unedited, cross-references to SCC resolve correctly",Reviewed,
COV-111,83,84,GCC 33,Change Orders and Contract Amendments,heading,Locked,"Section VI GCC clause 33 full text, unmodified",complete_tender.html - Section VI - General Conditions of Contract,"present verbatim, unedited, cross-references to SCC resolve correctly",Reviewed,"Gate D remediation - review sweep: GCC 33.5 Value Engineering benefits list dropped enumerated item (c) ""improve the quality, efficiency or sustainability of the Goods,"" jumping from (b) directly to (d) - confirmed by the surviving ""(d)"" label with no ""(c)"". Unambiguous, low-risk, source-verbatim fix - applied directly to complete_tender.html line 1333 (restored the missing ""(c)"" clause)."
COV-112,84,84,GCC 34,Extensions of Time,heading,Locked,"Section VI GCC clause 34 full text, unmodified",complete_tender.html - Section VI - General Conditions of Contract,"present verbatim, unedited, cross-references to SCC resolve correctly",Reviewed,
COV-113,84,85,GCC 35,Termination,heading,Locked,"Section VI GCC clause 35 full text, unmodified",complete_tender.html - Section VI - General Conditions of Contract,"present verbatim, unedited, cross-references to SCC resolve correctly",Reviewed,
COV-114,85,85,GCC 36,Assignment,heading,Locked,"Section VI GCC clause 36 full text, unmodified",complete_tender.html - Section VI - General Conditions of Contract,"present verbatim, unedited, cross-references to SCC resolve correctly",Reviewed,
COV-115,85,85,GCC 37,Export Restriction,heading,Locked,"Section VI GCC clause 37 full text, unmodified",complete_tender.html - Section VI - General Conditions of Contract,"present verbatim, unedited, cross-references to SCC resolve correctly",Reviewed,
COV-116,28,28,Section II,Section II - Tender Data Sheet (TDS) heading and lead-in note,heading,Generated,tds.* (rendered as a whole from S7 inherited/officer/generated values),complete_tender.html - Section II heading,"every ITT-referenced TDS row below is resolved, none left blank",Reviewed,
COV-117,28,31,Section II,TDS row - ITT 1.1: Reference number of the Invitation for Tenders / PE name / Contract name / lots,blank,Generated,tender.reference; procuring_entity.name; tender.title,complete_tender.html - Section II - Tender Data Sheet,one award package fixed per S2/S6; lot count not rendered as a choice,Reviewed,
COV-118,28,31,Section II,TDS row - ITT 1.2(a): Electronic-Procurement System name/address and managed aspects,blank,Generated,platform.name; platform.public_url,TDS ITT 1.2(a) - e-Procurement system identity and functional description,"governed platform name and canonical public URL present; functional description is fixed reviewed template text (Locked), revised only via a later template release; missing platform identity/URL blocks publication",Reviewed,"Resolved 2026-08-28 (product owner): render from governed platform configuration (name: KenTender; canonical public URL for current deployment) plus fixed, reviewed wording describing only the electronic functions actually supported for this Tender pattern. Not officer-editable, not dynamically generated - the functional description text itself is Locked and changes only through a template revision."
COV-119,28,31,Section II,TDS row - ITT 2.3: Information on competing firms with unfair advantage / consulting firms,blank,Not used by this released pattern,,complete_tender.html - Section II - Tender Data Sheet,N/A - clause not rendered,Reviewed,"S7.2 has no such value; this narrow product template excludes complex consulting-conflict disclosures. GCC/ITT text on unfair competitive advantage (ITT2.3) is retained as Locked wording, but the TDS free-text disclosure blank is not populated in this release."
COV-120,28,31,Section II,TDS row - ITT 3.1: Maximum number of members in a Joint Venture,blank,Officer value,,"complete_tender.html - Section II TDS, ITT 3.1 row (fixed text)",fixed text present verbatim,Reviewed,"STD-TPL-001 S9.2: 'joint-venture information only when permitted and used.' This first release's fixture and officer tasks (S7, S13) carry no JV decision, so the JV member-cap blank is not completed. Gate D remediation - review sweep: the retained ITT 3.1 body clause (complete_tender.html line 61) states ""The maximum number of JV members shall be specified in the TDS,"" but no such TDS row exists in this release, so the document promises information the TDS never delivers. See open_issues.md Gate D remediation - review sweep findings, item 38. Resolved 2026-08-28 (Gate D second-round decision): No JV member cap for Version 1.0 (#38): TDS ITT 3.1 row added with fixed text 'No maximum number of Joint Venture members is prescribed.' Not an officer-configurable field. Treatment changed from 'Not used' to reflect the row is now active (fixed TDS content)."
COV-121,28,31,Section II,TDS row - ITT 3.7: Debarred firms and individuals list reference (PPRA website),blank,Locked,Section II TDS - fixed PPRA website reference,complete_tender.html - Section II - Tender Data Sheet,"present verbatim, unedited",Reviewed,
COV-122,28,31,Section II,TDS row - ITT 3.11: Tenderer registration requirements in Kenya,blank,Locked,,TDS ITT 3.11 - fixed 'not applicable' statement,fixed text present verbatim; no per-tender variation,Reviewed,"Resolved 2026-08-28 (product owner): render as fixed Locked text - 'Not applicable. No category-specific registration authority is required for this Tender.' No officer field, no registration-authority reference-data model. Ordinary company registration/tax compliance/supplier eligibility are handled under their own eligibility requirements, not this clause. A future Goods template requiring a named regulator would need this as reviewed Locked text in that template version."
COV-123,28,31,Section II,TDS row - ITT 6.1: Address for clarification enquiries and deadline; response publication website,blank,Inherited,procuring_entity.contact_office; tender.clarification_deadline,complete_tender.html - Section II - Tender Data Sheet,present in governed PE/platform data and Task 1,Reviewed,
COV-124,28,31,Section II,"TDS row - ITT 6.2: Pre-tender conference held/not held, date, location",blank,Officer value,tender.pre_tender_meeting.enabled; tender.pre_tender_meeting.details,complete_tender.html - Section II - Tender Data Sheet,present in TDS when enabled,Reviewed,
COV-125,28,31,Section II,TDS row - ITT 6.3: Deadline for questions before pre-tender meeting,blank,Generated,tender.pre_tender_meeting.details,complete_tender.html - Section II - Tender Data Sheet,derived from pre-tender meeting date when enabled,Reviewed,
COV-126,28,31,Section II,TDS row - ITT 6.5: Website where pre-tender meeting minutes are published,blank,Inherited,procuring_entity.contact_office,complete_tender.html - Section II - Tender Data Sheet,sourced from governed PE/platform data,Reviewed,
COV-127,28,31,Section II,TDS row - ITT 10(j): Additional documents to be submitted with the Tender,blank,Not used by this released pattern,,complete_tender.html - Section II - Tender Data Sheet,N/A - clause not rendered,Reviewed,STD-TPL-001 S9.2 defines a closed baseline supplier package and S9.3 a finite evidence list; an open-ended 'additional documents' blank is not an approved Version 1.0 field.
COV-128,28,31,Section II,TDS row - ITT 12.1: Alternative Tenders shall/shall not be considered,blank,Not used by this released pattern,,complete_tender.html - Section II - Tender Data Sheet,N/A - clause not rendered,Reviewed,STD-TPL-001 S6: 'Alternative Tenders | Not permitted in this first pattern.' Rendered fixed to 'shall not'.
COV-129,28,31,Section II,TDS row - ITT 13.5: Prices shall/shall not be subject to adjustment,blank,Not used by this released pattern,,complete_tender.html - Section II - Tender Data Sheet,N/A - clause not rendered,Reviewed,STD-TPL-001 S6: 'Price adjustment | Prices fixed in this first pattern.' Rendered fixed to 'shall not'.
COV-130,28,31,Section II,TDS row - ITT 13.6: Minimum percentage of items/quantities per lot to be priced,blank,Not used by this released pattern,,complete_tender.html - Section II - Tender Data Sheet,N/A - clause not rendered,Reviewed,"Applies only to multi-lot tenders; S2 binding decision restricts this release to one award package, so lot-percentage wording does not apply."
COV-131,28,31,Section II,TDS row - ITT 13.8(a)(i)&(iii): Final destination point / project site,blank,Officer value,goods.destination,complete_tender.html - Section II - Tender Data Sheet,"present per goods row, Task 2",Reviewed,
COV-132,28,31,Section II,TDS row - ITT 13.8(b)(i): Named place of destination in Kenya (imported goods),blank,Officer value,goods.destination,complete_tender.html - Section II - Tender Data Sheet,"present per goods row, Task 2",Reviewed,
COV-133,28,31,Section II,TDS row - ITT 13.8(b)(ii): Inland transport/insurance price destination detail,blank,Officer value,goods.destination,complete_tender.html - Section II - Tender Data Sheet,"present per goods row, Task 2",Reviewed,
COV-134,28,31,Section II,TDS row - ITT 14.2: Foreign currency requirements allowed/not allowed,blank,Not used by this released pattern,,complete_tender.html - Section II - Tender Data Sheet,N/A - clause not rendered,Reviewed,STD-TPL-001 S2/S6: 'Tender currency: One' / 'Set the permitted Tender currency treatment and render it consistently.' Multiple currencies are not supported in this release.
COV-135,28,31,Section II,TDS row - ITT 15.4: Period the Goods are expected to be functioning (spare parts),blank,Officer value,goods.minimum_warranty,complete_tender.html - Section II - Tender Data Sheet,reuses the minimum warranty value; not a separate field,Reviewed,
COV-136,28,31,Section II,TDS row - ITT 16.2(a): Manufacturer's authorization required/not required,blank,Officer value,submission.manufacturer_authorisation_required,complete_tender.html - Section II - Tender Data Sheet,present in TDS Task 4,Reviewed,
COV-137,28,31,Section II,TDS row - ITT 16.2(b): After-sales service required/not required,blank,Officer value,submission.after_sales_support_required,complete_tender.html - Section II - Tender Data Sheet,present in TDS Task 4,Reviewed,
COV-138,28,31,Section II,TDS row - ITT 17.1: Tender validity period in days,blank,Officer value,tender.validity_days,complete_tender.html - Section II - Tender Data Sheet,"non-null, multiple of seven",Reviewed,
COV-139,28,31,Section II,TDS row - ITT 17.3: Days beyond validity expiry / price adjustment percentages if award delayed,blank,Not used by this released pattern,,complete_tender.html - Section II - Tender Data Sheet,N/A - clause not rendered,Reviewed,"Depends on adjustable-price contracts; STD-TPL-001 S6 fixes prices as not adjustable for Version 1.0, so the price-adjustment-on-delay sub-clause is not populated."
COV-140,28,31,Section II,"TDS row - ITT 18.1: Tender Security or Tender-Securing Declaration required, amount and currency",blank,Officer value,tender.tender_security.type; tender.tender_security.currency; tender.tender_security.amount,complete_tender.html - Section II - Tender Data Sheet,"present in TDS Task 1, reconciles with the applicable official form",Reviewed,Updated 2026-08-28: Version 1.0 offers only the Tender Security path (see COV-227/228/229); the 'or Tender-Securing Declaration' alternative wording is removed from the rendered TDS text at Pass 4. Treatment/owner_key unchanged - amount and currency remain Officer value.
COV-141,28,31,Section II,TDS row - ITT 19.1: Number of copies of the Tender in addition to the original,blank,Not used by this released pattern,,complete_tender.html - Section II - Tender Data Sheet,N/A - clause not rendered,Reviewed,Applies to physical paper submission; STD-TPL-001 S6 removes physical-envelope instructions where they do not apply to KenTender's electronic submission service.
COV-142,28,31,Section II,TDS row - ITT 19.3: Written confirmation of authorization to sign on behalf of the Tenderer,blank,Supplier response,Tenderer Information Form / Form of Tender,complete_tender.html - Section II - Tender Data Sheet,supplier-provided authorisation document present,Reviewed,
COV-143,28,31,Section II,TDS row - ITT 20.3: Handling of a tender package too large for the tender box,blank,Not used by this released pattern,,complete_tender.html - Section II - Tender Data Sheet,N/A - clause not rendered,Reviewed,Physical tender-box handling does not apply under electronic submission (STD-TPL-001 S6).
COV-144,28,31,Section II,"TDS row - ITT 21.1: Tender submission address, attention, deadline date/time, electronic option",blank,Generated,tender.submission_deadline; procuring_entity.contact_office,complete_tender.html - Section II - Tender Data Sheet,deadline present in Task 1; address sourced from governed PE/platform data,Reviewed,
COV-145,28,31,Section II,"TDS row - ITT 24.1: Tender opening location, date/time, electronic opening procedure",blank,Generated,tender.opening_datetime,complete_tender.html - Section II - Tender Data Sheet,derived from submission deadline under the immediate electronic opening rule,Reviewed,
COV-146,28,31,Section II,TDS row - ITT 24.6: Number of Procuring Entity representatives to sign the opening record,blank,Not used by this released pattern,,complete_tender.html - Section II - Tender Data Sheet,N/A - clause not rendered,Reviewed,Physical countersignature-count convention does not apply to KenTender's electronic opening record.
COV-147,28,31,Section II,TDS row - ITT 29.3: Manner of rectifying quantifiable nonmaterial nonconformities,blank,Locked,Section II TDS - fixed released treatment wording,complete_tender.html - Section II - Tender Data Sheet,present verbatim per the released calculation/compliance rule,Reviewed,
COV-148,28,31,Section II,TDS row - ITT 31.1: Currency and exchange-rate source/date for Tender evaluation conversion,blank,Not used by this released pattern,,complete_tender.html - Section II - Tender Data Sheet,N/A - clause not rendered,Reviewed,"Only relevant when several Tender currencies are permitted; STD-TPL-001 S2/S6 fixes one currency, so no conversion rule is rendered."
COV-149,28,31,Section II,TDS row - ITT 32.3 / 32.5: Margin of preference/reservation application and eligible group,blank,Not used by this released pattern,,complete_tender.html - Section II - Tender Data Sheet,N/A - clause not rendered,Reviewed,"STD-TPL-001 S6: 'Margin of preference or reservation | Procurement/legal reviewer must approve the exact treatment before release; unsupported variants make a Requisition incompatible.' No approval exists for Version 1.0, so this row is not rendered."
COV-150,28,31,Section II,TDS row - ITT 33.2: Items/lots for which price evaluation will be done,blank,Generated,goods (all rows evaluated together; one award package),complete_tender.html - Section II - Tender Data Sheet,derived from the single goods/price schedule,Reviewed,
COV-151,28,31,Section II,TDS row - ITT 33.2(d): Additional evaluation factors,blank,Not used by this released pattern,,complete_tender.html - Section II - Tender Data Sheet,N/A - clause not rendered,Reviewed,"STD-TPL-001 S9.1: fixed four-stage pass/fail plus lowest-evaluated-price sequence, 'no weighted scoring screen and no criterion builder.'"
COV-152,28,31,Section II,"TDS row - ITT 33.6(a)-(g): Financial adjustment factors (delivery/payment deviation, spares, life-cycle cost, performance)",blank,Not used by this released pattern,,complete_tender.html - Section II - Tender Data Sheet,N/A - clause not rendered,Reviewed,STD-TPL-001 S9.1 fixes the evaluation model to pass/fail responsiveness plus lowest evaluated price; none of these optional financial-adjustment factors are part of the released evaluation sequence.
COV-153,28,31,Section II,TDS row - ITT 41.1: Maximum percentage quantities may be increased/decreased at award,blank,Not used by this released pattern,,complete_tender.html - Section II - Tender Data Sheet,N/A - clause not rendered,Reviewed,STD-TPL-001 S2 rejects several award packages/lots and does not authorise a quantity-variation-at-award officer field for Version 1.0; not in S7.
COV-154,28,31,Section II,TDS row - ITT 47.3: Performance security sum if required,blank,Officer value,contract.performance_security.percentage,complete_tender.html - Section II - Tender Data Sheet,"present in Task 5, TDS/SCC and the applicable form",Reviewed,
COV-155,28,31,Section II,TDS row - ITT 49.1: Procurement-related complaint contact particulars,blank,Inherited,procuring_entity.contact_office,complete_tender.html - Section II - Tender Data Sheet,"sourced from governed PE/platform data, not free text",Reviewed,
COV-156,32,32,Section III,Section III - Evaluation and Qualification Criteria (heading),heading,Locked,"Section III heading, unmodified",complete_tender.html - Section III heading,"present verbatim, unedited",Reviewed,
COV-157,32,32,Section III.1,General Provisions (exchange-rate rule; no criteria beyond this section),heading,Locked,"Section III.1 full text, unmodified",complete_tender.html - Section III - General Provisions,"present verbatim, unedited",Reviewed,
COV-158,32,33,Section III.2,Evaluation of Tenders (ITT 33) - Successful Tender criteria (2.1),heading,Locked,"Section III.2.1 fixed pass/fail and lowest-evaluated-cost wording, unmodified",complete_tender.html - Section III.2,"present verbatim, unedited",Reviewed,STD-TPL-001 S9.1 fixes this exact sequence (responsive + lowest evaluated cost); no weighted scoring or criterion builder.
COV-159,33,33,Section III.2.2,"Preliminary examination for Determination of Responsiveness, incl. [PE to provide preliminary evaluation criteria template]",preparer_instruction,Not used by this released pattern,,complete_tender.html - Section III.2.2 (rendered with the fixed submission/eligibility stage only),N/A - clause not rendered as an open template,Reviewed,STD-TPL-001 S9.1 fixes four stages (submission/eligibility; pass/fail technical; arithmetic/financial; award) with no PE-authored preliminary-criteria template or criterion builder.
COV-160,33,33,Section III.2.2.1,"Evaluation of Technical aspects of the Tender, incl. [PE to highlight specification details to be confirmed]",heading,Locked,"Section III.2.2.1 fixed pass/fail technical-compliance wording, unmodified",complete_tender.html - Section III.2.2.1,"supplier technical-compliance responses are collected against the published, approved technical specification (S8.4); no PE-authored highlight template is used",Reviewed,
COV-161,33,33,Section III.2.2.2,"Evaluation of Commercial Terms and Conditions (ITT 33.1(a)), incl. [PE to highlight contractual requirements]",heading,Locked,"Section III.2.2.2 fixed commercial-terms wording, unmodified",complete_tender.html - Section III.2.2.2,commercial terms evaluated against the fixed TDS/SCC values; no PE-authored highlight template is used,Reviewed,
COV-162,33,34,Section III.2.2.3,"Evaluation Criteria (Other Factors), ITT 33.6(a) - Delivery schedule adjustment factor [insert the adjustment factor]",option_instruction,Not used by this released pattern,,N/A - clause not rendered,N/A - clause not rendered,Reviewed,STD-TPL-001 S9.1: 'There is no weighted scoring screen and no criterion builder.' S6 fixes the evaluation model to pass/fail plus lowest evaluated price; none of the ITT 33.6 financial-adjustment factors are part of the released sequence.
COV-163,33,34,Section III.2.2.3,"Evaluation Criteria (Other Factors), ITT 33.6(b) - Deviation in payment schedule [insert one of the following]",option_instruction,Not used by this released pattern,,N/A - clause not rendered,N/A - clause not rendered,Reviewed,STD-TPL-001 S9.1: 'There is no weighted scoring screen and no criterion builder.' S6 fixes the evaluation model to pass/fail plus lowest evaluated price; none of the ITT 33.6 financial-adjustment factors are part of the released sequence.
COV-164,33,34,Section III.2.2.3,"Evaluation Criteria (Other Factors), ITT 33.6(c) - Cost of major replacement components/spare parts [insert one of the following]",option_instruction,Not used by this released pattern,,N/A - clause not rendered,N/A - clause not rendered,Reviewed,STD-TPL-001 S9.1: 'There is no weighted scoring screen and no criterion builder.' S6 fixes the evaluation model to pass/fail plus lowest evaluated price; none of the ITT 33.6 financial-adjustment factors are part of the released sequence.
COV-165,33,34,Section III.2.2.3,"Evaluation Criteria (Other Factors), ITT 33.6(d) - Availability in Kenya of spare parts and after-sales services adjustment",option_instruction,Not used by this released pattern,,N/A - clause not rendered,N/A - clause not rendered,Reviewed,STD-TPL-001 S9.1: 'There is no weighted scoring screen and no criterion builder.' S6 fixes the evaluation model to pass/fail plus lowest evaluated price; none of the ITT 33.6 financial-adjustment factors are part of the released sequence.
COV-166,33,34,Section III.2.2.3,"Evaluation Criteria (Other Factors), ITT 33.6(e) - Life cycle costs adjustment [insert methodology if applicable]",option_instruction,Not used by this released pattern,,N/A - clause not rendered,N/A - clause not rendered,Reviewed,STD-TPL-001 S9.1: 'There is no weighted scoring screen and no criterion builder.' S6 fixes the evaluation model to pass/fail plus lowest evaluated price; none of the ITT 33.6 financial-adjustment factors are part of the released sequence.
COV-167,33,34,Section III.2.2.3,"Evaluation Criteria (Other Factors), ITT 33.6(f) - Performance and productivity of equipment adjustment [insert one of the following]",option_instruction,Not used by this released pattern,,N/A - clause not rendered,N/A - clause not rendered,Reviewed,STD-TPL-001 S9.1: 'There is no weighted scoring screen and no criterion builder.' S6 fixes the evaluation model to pass/fail plus lowest evaluated price; none of the ITT 33.6 financial-adjustment factors are part of the released sequence.
COV-168,33,34,Section III.2.2.3,"Evaluation Criteria (Other Factors), ITT 33.6(g) - Specific additional criteria [insert if applicable]",option_instruction,Not used by this released pattern,,N/A - clause not rendered,N/A - clause not rendered,Reviewed,STD-TPL-001 S9.1: 'There is no weighted scoring screen and no criterion builder.' S6 fixes the evaluation model to pass/fail plus lowest evaluated price; none of the ITT 33.6 financial-adjustment factors are part of the released sequence.
COV-169,34,34,Section III.2.2.4,Multiple Contracts (ITT 33.4) - Option 1 / Option 2 award-by-lot methodology,option_instruction,Not used by this released pattern,,N/A - clause not rendered,N/A - clause not rendered,Reviewed,STD-TPL-001 S2 binding decision: 'Award package: One'; multiple-lot award options do not apply.
COV-170,34,34,Section III.2.2.5,Alternative Tenders evaluation methodology [insert one of the following],option_instruction,Not used by this released pattern,,N/A - clause not rendered,N/A - clause not rendered,Reviewed,STD-TPL-001 S6: 'Alternative Tenders | Not permitted in this first pattern.'
COV-171,34,35,Section III.3,"Margin of Preference (3.1, 3.2 Groups A/B/C and comparison methodology)",table,Not used by this released pattern,,N/A - clause not rendered,N/A - clause not rendered,Reviewed,STD-TPL-001 S6: 'Margin of preference or reservation | Procurement/legal reviewer must approve the exact treatment before release; unsupported variants make a Requisition incompatible.' No such approval exists for Version 1.0.
COV-172,35,35,Section III.4,"Post-Qualification of Tenderers (ITT 37) - heading, incl. [PE note: delete before issuing; prequalification not assumed]",preparer_instruction,Locked,Section III.4 heading and fixed 'no prior prequalification' assumption,complete_tender.html - Section III.4,present verbatim; PE authoring note removed from supplier-facing output,Reviewed,
COV-173,35,35,Section III.4.1,"Post-Qualification Criteria (ITT 37.1) - GO/NO GO basis, incl. [PE note: select requirements as relevant]",heading,Locked,"Section III.4.1 fixed methodology statement, unmodified",complete_tender.html - Section III.4.1,"present verbatim; the PE selection note is resolved by the finite evidence list in S7.2/S9.3, not an open criterion picker",Reviewed,
COV-174,35,36,Section III.4.2(a),If Tenderer is a manufacturer - Financial Capability (liquid assets / minimum annual turnover blanks),blank,Not used by this released pattern,,N/A - clause not rendered,N/A - clause not rendered,Reviewed,"STD-TPL-001 S7.2/S9.3 finite evidence list does not include a financial-capability (cash-flow or turnover) threshold; only manufacturer authorisation, datasheets, comparable experience, after-sales evidence and one justified additional item are supported."
